Trials_Control,Trials_Variance,Success_Control,Success_Variance
5119,5037,146,168
5119,5037,153,176
5119,5037,176,199
5119,5037,191,216
5119,5037,198,225
5119,5037,211,237
5119,5037,223,250
5119,5037,224,256
5119,5037,227,266
5119,5037,264,304
5119,5037,264,304
5119,5037,281,318
5119,5037,300,330
5119,5037,320,344
5119,5037,319,346
5119,5037,328,359
5119,5037,345,381
5119,5037,368,396
5119,5037,384,411
5119,5037,402,435
5119,5037,418,446
5119,5037,412,445
5119,5037,421,450
5119,5037,454,485
5119,5037,452,483
5119,5037,473,502
5119,5037,485,531
5119,5037,507,551
5119,5037,504,544
5119,5037,509,556
5119,5037,524,573
5119,5037,537,580
5119,5037,547,582
5119,5037,554,587
5119,5037,575,603
5119,5037,564,592
5119,5037,570,600
5119,5037,582,616
5119,5037,584,621
5119,5037,583,618
5119,5037,586,627
5119,5037,597,640
